Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Class
Africa,Southern Africa,Zambia,4.73,4.47,5.0,3.0,3.5,7.5,5.0,5.5,4.5,3.5,5.0,3.5,4.0,5.0,4.5,5.0,2.5,5.0,3.0,5.0,6.5,7.5,3.0,4.54,4.5,3.5,5.5,6.5,5.0,4.0,3.5,5.5,5.5,3.0,3.0,5.0,1
Asia,Central Asia and the Caucasus,Kazakhstan,4.47,4.33,6.0,4.5,3.0,2.0,5.0,5.5,6.5,2.5,5.0,6.0,2.5,5.0,4.0,4.0,3.5,4.6,4.0,4.5,6.5,4.0,4.0,4.54,5.0,4.0,5.5,5.5,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.5,1
Africa,Southern Africa,Namibia,4.3,4.1,3.5,2.5,3.0,6.5,5.5,4.5,3.0,4.5,3.5,4.5,5.0,4.5,4.5,3.5,3.0,4.5,2.5,5.5,5.0,6.0,3.5,4.54,4.5,4.0,7.0,6.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,6.0,1
Africa,Southern Africa,Malawi,4.48,4.77,5.0,4.5,4.5,5.0,6.5,4.5,4.0,3.5,6.5,3.0,2.5,7.0,7.0,6.0,2.0,4.2,2.0,4.5,4.0,5.5,5.0,4.58,5.5,5.0,5.5,5.5,5.0,3.5,3.0,6.0,4.0,2.5,4.0,5.5,1
Americas,Caribbean & Central,Antigua and Barbuda,2.98,2.67,4.0,2.0,3.5,1.0,3.5,1.5,3.0,6.0,5.5,1.5,1.5,2.5,1.5,1.0,2.0,3.3,3.0,3.5,3.0,5.5,1.5,4.58,4.5,5.0,5.5,5.0,3.0,4.5,4.5,3.5,5.0,4.0,5.0,5.5,0
Asia,South-Eastern Asia,Brunei,2.85,3.3,5.0,4.0,2.5,3.0,4.0,2.0,2.5,1.5,3.5,4.5,4.0,4.0,3.0,4.0,2.0,2.4,1.0,2.0,3.0,4.0,2.0,4.58,4.0,4.0,4.5,4.5,4.0,5.5,5.5,5.5,6.0,3.0,5.0,3.5,0
Africa,North Africa,Morocco,4.8,5.1,5.5,7.0,2.0,2.0,4.5,1.5,4.0,6.0,9.0,6.0,4.0,7.5,6.5,6.0,5.0,4.5,1.5,6.5,7.5,4.0,3.0,4.63,4.5,3.5,6.0,6.5,4.0,5.5,6.0,3.5,4.5,4.5,4.0,3.0,1
Americas,Caribbean & Central,Panama,6.98,6.67,7.5,6.5,7.0,6.5,8.0,6.5,5.0,8.5,4.5,5.0,6.5,7.5,7.5,7.0,6.5,7.3,7.5,7.0,7.5,6.0,8.5,4.67,4.0,4.0,6.0,6.0,3.0,4.5,5.5,3.5,5.5,4.0,4.0,6.0,2
Asia,Southern Asia,Bhutan,3.9,3.9,6.0,5.0,2.5,6.5,6.0,5.0,2.5,1.5,5.0,3.5,2.5,3.0,3.5,4.0,2.0,3.9,4.0,4.5,4.0,4.0,3.0,4.71,6.0,6.5,5.0,4.5,5.5,5.0,3.5,4.0,5.5,3.5,4.0,3.5,1
Europe,Central & Eastern Europe,Montenegro,5.9,5.2,5.0,5.5,6.0,3.0,5.5,3.5,5.5,7.0,6.0,4.0,5.5,6.0,3.0,7.5,5.0,6.6,7.5,7.0,7.0,6.0,5.5,4.75,4.5,4.5,6.0,5.0,4.5,4.5,5.0,5.0,4.0,4.0,5.0,5.0,2
Africa,East Africa,Ethiopia,5.68,6.07,8.0,7.5,8.5,4.5,6.0,6.0,3.5,4.0,6.0,3.0,5.0,7.0,8.0,8.0,6.0,5.3,2.0,6.5,5.0,6.0,7.0,4.75,4.0,4.5,6.0,6.0,5.0,3.5,4.0,7.0,5.0,3.0,5.0,4.0,2
Asia,South-Eastern Asia,Vietnam,6.55,6.5,7.0,7.0,4.5,7.0,9.0,6.0,7.5,4.0,4.5,7.0,6.5,7.0,7.5,7.0,6.0,6.6,6.0,7.0,7.0,6.5,6.5,4.79,5.0,4.5,6.0,6.0,4.0,4.5,5.5,5.5,5.5,4.5,5.0,1.5,2
Asia,South-Eastern Asia,Thailand,6.18,6.77,7.0,7.0,6.5,6.5,8.0,6.0,8.0,4.0,4.5,8.5,6.0,8.0,8.0,7.0,6.5,5.6,1.5,6.0,6.5,7.0,7.0,4.79,5.0,4.5,6.5,5.5,4.0,5.5,4.0,5.0,4.5,4.5,5.0,3.5,2
Americas,Caribbean & Central,Dominican Republic,5.02,5.13,6.5,6.0,4.0,5.0,4.0,4.5,6.5,8.0,5.5,4.5,3.5,5.0,5.5,4.5,4.0,4.9,5.0,5.5,5.5,4.0,4.5,4.79,5.0,3.0,7.5,5.0,4.0,5.0,5.5,4.0,5.0,4.0,4.5,5.0,1
Americas,South America,Bolivia,4.95,5.0,5.0,4.0,5.0,7.5,6.0,8.0,2.0,8.5,2.5,2.0,4.5,5.0,5.0,7.0,3.0,4.9,4.0,4.5,6.0,5.0,5.0,4.83,5.0,4.0,5.0,6.0,3.0,4.5,4.5,4.5,5.5,5.0,6.0,5.0,1
Americas,South America,Ecuador,7.07,6.73,6.5,6.0,8.0,7.0,7.0,7.5,6.5,8.5,5.5,5.5,6.5,6.5,6.0,6.0,8.0,7.4,8.0,7.5,7.0,8.0,6.5,4.88,4.5,5.5,6.0,5.0,4.0,4.0,3.5,5.5,5.0,5.5,4.5,5.5,2
Europe,Central & Eastern Europe,Hungary,4.62,4.73,6.5,6.5,4.5,4.0,4.0,3.5,5.0,5.0,5.5,6.0,5.0,5.5,4.0,4.0,2.0,4.5,1.0,4.0,7.0,5.5,5.0,4.88,4.5,3.5,4.5,5.0,5.0,5.0,6.5,5.5,4.5,4.5,6.0,4.0,1
Americas,South America,Brazil,6.77,6.93,6.0,5.5,8.5,8.5,8.5,8.5,2.5,9.0,8.5,4.5,8.0,7.0,7.0,5.0,7.0,6.6,8.0,7.0,8.5,3.5,6.0,4.92,3.0,4.5,7.5,4.5,3.0,4.5,5.5,6.0,5.5,5.0,4.0,6.0,2
Africa,Central Africa,Sao Tome and Principe,1.7,1.7,1.5,1.0,1.5,2.5,2.0,1.0,2.0,2.0,2.5,1.5,1.0,3.0,1.5,1.5,1.0,1.7,1.0,1.5,3.0,2.0,1.0,4.92,6.0,5.0,7.0,7.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,0
Europe,Central & Eastern Europe,Serbia,6.22,5.73,6.0,6.5,6.5,5.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,7.0,4.5,5.0,5.5,6.7,6.0,7.0,8.0,6.5,6.0,4.96,4.5,4.0,6.5,5.0,5.0,5.0,6.0,5.5,5.0,4.0,5.5,3.5,2
Americas,Caribbean & Central,"St, Kitts and Nevis",3.52,2.83,3.0,2.5,4.5,1.5,2.0,2.0,1.0,7.0,7.0,1.0,1.5,4.5,2.0,2.0,1.0,4.2,1.0,6.0,6.5,5.5,2.0,5.0,6.0,5.0,6.0,6.5,7.0,4.5,6.0,5.5,2.0,2.5,4.0,5.0,0
Oceania,Micronesia,Nauru,2.05,2.2,1.5,1.5,1.0,1.0,3.5,3.5,1.5,1.5,1.5,1.5,2.5,3.0,4.5,4.0,1.0,1.9,1.0,1.5,3.5,2.5,1.0,5.0,5.0,5.0,6.0,7.5,6.5,5.5,7.5,7.0,3.5,2.0,1.0,3.5,0
Oceania,Melanesia,Solomon Islands,4.4,3.7,4.5,2.0,3.0,8.0,7.5,3.5,1.0,2.5,3.5,1.5,1.5,7.0,4.0,4.0,2.0,5.1,1.0,4.5,7.0,6.5,6.5,5.08,4.5,4.5,5.0,4.5,5.5,6.0,5.0,5.0,4.5,4.5,7.0,5.0,1
Asia,Western Asia,United Arab Emirates,6.37,7.03,8.5,6.5,7.0,5.5,7.5,7.5,7.0,6.5,6.5,8.0,8.0,9.5,7.0,5.5,5.0,5.7,1.0,6.5,6.5,7.0,7.5,5.13,5.0,4.5,5.0,5.5,5.5,6.0,5.5,3.5,5.5,6.0,6.5,3.0,2
Africa,West Africa,Côte d'Ivoire,6.02,5.93,7.0,6.5,7.0,6.0,6.5,6.0,4.0,5.5,6.5,6.0,5.5,6.5,7.0,3.5,5.5,6.1,3.5,7.0,7.5,7.5,5.0,5.13,5.5,4.5,6.0,5.0,5.0,5.5,5.0,5.0,5.0,4.5,5.5,5.0,2
Europe,Central & Eastern Europe,Albania,5.17,4.83,5.0,6.0,4.5,4.5,3.5,5.0,6.0,6.5,6.5,3.5,6.0,6.0,3.0,3.0,3.5,5.5,6.5,7.0,6.5,3.0,4.5,5.13,5.0,4.5,7.0,6.0,6.0,5.0,5.5,4.0,4.0,4.5,5.0,5.0,1
Europe,Southern Europe,Malta,5.0,4.3,5.0,3.5,3.0,1.0,5.0,4.5,3.0,5.5,4.5,5.0,5.5,8.0,4.0,4.0,3.0,5.7,3.0,7.0,7.5,5.0,6.0,5.13,4.5,4.0,7.5,6.0,4.5,4.5,4.5,4.5,6.5,7.0,4.0,4.0,1
Americas,Caribbean & Central,Grenada,2.93,2.67,2.0,2.5,3.0,2.0,2.5,3.5,1.0,6.0,7.0,1.5,3.0,3.0,1.0,1.0,1.0,3.2,2.0,3.0,3.5,4.0,3.5,5.13,5.5,5.0,6.0,5.5,4.5,6.5,6.0,5.0,6.0,3.0,4.0,4.5,0
Oceania,Melanesia,Vanuatu,2.43,2.67,3.5,1.5,1.5,3.5,6.0,1.5,1.0,2.5,3.5,2.0,2.5,3.5,4.0,2.5,1.0,2.2,1.0,1.5,3.0,4.0,1.5,5.13,5.0,5.5,5.5,6.5,7.0,6.5,4.0,3.0,4.0,5.0,3.5,6.0,0
Europe,Southern Europe,Greece,5.35,4.7,5.5,8.0,3.5,2.0,2.5,3.0,6.0,5.0,5.5,3.5,3.5,6.5,5.0,5.5,5.5,6.0,3.5,6.5,7.5,6.0,6.5,5.17,5.0,5.0,7.0,6.0,4.5,5.0,5.5,5.5,5.5,4.0,5.0,4.0,1
Africa,West Africa,Gambia,4.53,4.67,6.0,5.0,2.5,7.0,4.0,4.5,4.5,7.0,7.0,4.0,3.0,5.5,6.5,2.5,1.0,4.4,1.0,6.5,6.5,4.0,4.0,5.17,5.5,5.0,5.5,5.0,4.5,5.0,6.5,5.5,5.5,3.5,4.0,6.5,1
Americas,Caribbean & Central,Dominica,2.63,2.67,3.0,2.5,5.0,1.0,1.5,1.0,1.0,6.0,6.0,2.5,3.0,4.0,1.0,1.5,1.0,2.6,1.0,5.0,2.0,2.5,2.5,5.17,3.5,4.0,6.5,5.0,4.5,6.0,6.0,5.5,5.0,5.0,6.0,5.0,0
Asia,Western Asia,Oman,4.4,4.9,7.0,5.0,5.0,5.0,5.5,5.0,5.5,3.0,4.5,6.5,4.5,6.5,4.5,3.5,2.5,3.9,1.0,5.0,4.0,4.0,5.5,5.21,4.5,4.5,6.5,6.5,5.0,7.0,5.5,5.0,4.5,4.5,4.5,4.5,1
Asia,Eastern Asia,Mongolia,4.12,3.83,5.0,3.0,3.0,5.5,4.5,5.0,2.0,2.0,3.5,5.5,6.0,5.0,3.5,2.0,2.0,4.4,2.0,4.5,5.0,5.5,5.0,5.21,5.0,5.0,6.5,6.5,4.5,5.0,5.5,4.5,3.5,4.5,6.5,5.5,1
Africa,Southern Africa,Seychelles,3.9,3.5,4.0,3.5,3.5,4.0,4.5,1.0,8.0,4.5,3.5,3.0,2.5,4.5,3.0,2.0,1.0,4.3,2.0,5.0,5.5,5.0,4.0,5.21,5.0,5.5,6.5,5.5,6.0,5.0,5.0,4.5,4.5,4.5,5.0,5.5,1
Europe,Southern Europe,San Marino,3.48,2.37,2.0,1.5,2.5,1.0,1.5,1.5,2.0,4.0,2.5,1.5,2.0,7.5,3.0,1.0,2.0,4.6,2.0,4.0,5.0,6.5,5.5,5.21,4.0,4.0,6.0,5.5,6.5,5.0,6.0,4.5,5.5,5.5,4.5,5.5,0
Asia,Central Asia and the Caucasus,Georgia,3.6,3.6,3.5,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.5,4.0,5.0,5.0,5.0,2.5,3.5,3.6,3.0,3.0,3.5,3.0,5.5,5.25,4.0,5.0,6.0,6.5,3.0,6.5,5.0,5.0,4.5,6.5,5.5,5.5,0
Europe,Central & Eastern Europe,North Macedonia,5.03,4.87,5.0,6.5,4.5,4.0,3.5,3.0,6.0,5.0,6.0,5.5,5.5,6.0,4.0,3.5,5.0,5.2,3.0,6.0,6.5,5.5,5.0,5.29,5.0,5.5,6.0,5.0,4.5,6.0,6.0,5.5,4.0,4.5,5.5,6.0,1
Europe,Central & Eastern Europe,Slovakia,4.72,4.73,5.0,4.5,5.0,4.0,3.5,3.0,5.0,5.5,5.0,5.5,6.0,6.5,4.0,5.5,3.0,4.7,3.0,6.0,6.5,5.0,3.0,5.29,5.0,4.5,7.0,6.5,5.0,5.0,6.0,5.0,5.0,4.5,5.0,5.0,1
Oceania,Polynesia,Tonga,3.7,3.5,3.5,1.0,5.5,1.0,3.5,1.0,1.5,5.0,5.0,7.5,2.0,4.5,4.5,4.0,3.0,3.9,1.0,4.5,5.5,7.0,1.5,5.29,5.0,5.5,6.5,6.5,3.5,6.0,5.0,5.0,5.0,5.0,4.0,6.5,0
Africa,East Africa,Kenya,7.02,6.93,8.0,7.5,7.5,6.0,7.0,7.0,7.5,6.0,6.5,5.5,8.0,7.5,7.0,6.0,7.0,7.1,7.0,8.0,8.0,6.5,6.0,5.33,5.0,5.0,7.5,7.0,5.0,4.5,6.0,6.0,5.5,3.0,3.0,6.5,2
Europe,Central & Eastern Europe,Bulgaria,5.65,5.4,5.0,5.5,4.5,6.0,4.5,5.0,6.0,4.5,5.5,6.5,6.0,7.0,5.0,5.0,5.0,5.9,5.0,7.0,7.5,5.0,5.0,5.33,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.5,5.0,5.0,5.0,4.5,2
Americas,Caribbean & Central,Trinidad and Tobago,5.2,4.8,6.5,4.5,7.0,1.0,2.5,2.0,2.5,8.0,7.0,4.0,6.0,6.5,4.5,5.0,5.0,5.6,6.0,6.5,5.0,6.5,4.0,5.33,5.0,5.0,6.5,7.0,3.5,5.5,4.5,6.5,4.0,5.5,5.0,6.0,1
Oceania,Micronesia,Palau,2.7,2.9,3.5,2.5,1.5,1.0,7.0,1.5,2.0,3.0,2.5,4.0,2.5,2.5,4.5,4.0,1.5,2.5,1.0,4.0,2.0,4.0,1.5,5.33,7.0,6.0,7.5,5.5,5.0,5.5,4.5,5.0,4.5,2.5,5.5,5.5,0
Americas,Caribbean & Central,Cuba,3.37,3.63,5.5,5.5,1.5,3.5,3.0,4.0,2.5,4.0,5.0,3.0,3.0,3.5,5.5,3.0,2.0,3.1,3.0,2.5,3.5,2.0,4.5,5.38,6.5,2.5,6.5,6.0,3.0,7.0,8.0,5.5,5.5,4.0,7.0,3.0,0
Americas,Caribbean & Central,"St, Vincent and the Grenadines",3.08,2.67,2.5,1.0,4.0,1.0,2.0,1.0,1.0,7.5,7.5,1.0,3.0,2.5,2.0,3.0,1.0,3.5,2.0,5.0,2.0,5.5,3.0,5.38,6.0,6.0,6.0,6.5,6.0,4.0,6.0,5.5,4.0,3.0,5.5,6.0,0
Americas,Caribbean & Central,Jamaica,5.8,4.9,5.0,3.0,9.0,1.5,2.0,1.0,3.0,6.5,8.5,3.0,4.5,7.0,6.5,7.0,6.0,6.7,8.0,8.0,8.0,7.0,2.5,5.42,4.5,5.0,7.0,5.5,3.5,6.0,6.5,4.5,4.5,5.0,6.5,6.5,2
Asia,Southern Asia,India,5.75,6.7,8.0,6.5,6.0,6.0,7.0,7.0,7.0,3.5,7.5,7.0,7.5,7.0,7.5,6.0,7.0,4.8,3.5,6.5,6.0,3.0,5.0,5.42,4.0,5.0,8.5,5.0,4.5,5.0,8.0,6.5,5.0,4.0,5.0,4.5,2
Asia,Western Asia,Qatar,5.45,5.7,8.0,6.5,6.5,4.0,6.5,5.0,4.5,4.5,6.5,7.0,7.0,7.5,6.0,4.0,2.0,5.2,1.0,6.0,6.5,6.0,6.5,5.42,5.0,5.5,6.0,5.0,5.0,5.0,7.0,5.5,6.0,5.5,6.0,3.5,1
Asia,Western Asia,Bahrain,4.95,5.4,8.0,5.5,5.0,3.5,6.0,6.5,5.0,4.0,5.5,7.0,7.0,7.0,5.5,4.0,1.5,4.5,1.5,6.0,4.0,5.0,6.0,5.42,6.0,4.5,7.0,5.5,4.5,4.5,6.5,5.5,6.0,5.5,5.5,4.0,1
Oceania,Melanesia,Fiji,4.15,4.3,5.0,4.0,2.0,3.5,4.5,2.5,2.5,5.0,6.0,7.0,4.0,5.5,5.0,4.5,3.5,4.0,1.0,5.0,3.0,5.5,5.5,5.42,5.5,5.0,5.5,6.0,4.0,5.0,5.0,6.0,6.0,6.0,5.5,5.5,1
Africa,West Africa,Ghana,5.8,6.0,7.0,5.5,6.0,7.0,6.5,7.5,6.0,6.5,6.0,7.0,6.0,6.0,5.0,4.5,3.5,5.6,3.0,6.5,7.5,6.5,4.5,5.46,6.0,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.5,3.5,4.0,7.0,2
Africa,Southern Africa,Botswana,4.35,4.4,4.5,3.5,4.0,2.5,7.5,3.5,3.5,3.5,4.5,4.0,5.0,5.5,5.0,5.5,4.0,4.3,1.0,5.5,4.0,5.5,5.5,5.46,5.0,4.0,8.5,7.0,6.0,5.0,5.0,5.0,6.0,4.5,4.5,5.0,1
Americas,Caribbean & Central,Bahamas,3.75,3.6,5.0,5.5,5.5,1.5,4.5,2.0,4.0,7.5,4.5,3.0,2.5,3.5,2.0,1.5,1.5,3.9,4.0,3.0,3.0,6.0,3.5,5.5,6.0,5.5,6.5,6.5,3.5,6.5,5.0,5.0,4.0,7.0,5.5,5.0,0
Asia,Western Asia,Kuwait,5.2,5.7,8.0,6.5,6.0,5.5,6.0,6.0,5.0,4.5,6.5,7.0,6.5,7.0,6.0,3.0,2.0,4.7,1.0,6.0,6.0,4.0,6.5,5.54,5.0,4.5,6.0,5.5,5.5,6.0,5.5,5.5,6.5,5.5,5.5,5.5,1
Africa,Southern Africa,Mauritius,4.37,4.13,4.5,3.5,2.5,3.5,3.0,4.0,8.0,3.5,5.5,8.0,4.0,4.5,4.0,2.0,1.5,4.6,2.0,6.5,6.0,4.5,4.0,5.54,6.0,6.0,6.5,6.0,5.5,5.5,5.5,4.0,7.0,4.0,5.0,5.5,1
Africa,Central Africa,Rwanda,3.6,4.0,5.0,2.5,5.0,2.5,4.0,8.5,3.0,2.5,4.0,1.5,4.5,6.0,6.0,4.0,1.0,3.2,1.0,3.0,5.0,4.0,3.0,5.54,5.5,4.5,5.0,6.0,5.0,7.0,6.5,6.0,6.5,5.5,5.5,3.5,0
Asia,Western Asia,Jordan,4.93,4.87,6.0,5.5,6.5,3.5,3.5,2.0,3.5,3.0,6.0,7.0,5.5,6.5,5.5,5.0,4.0,5.0,1.5,7.0,6.0,4.5,6.0,5.58,5.5,4.5,8.0,6.0,4.5,6.5,6.0,6.5,4.0,4.5,6.5,4.5,1
Americas,Caribbean & Central,"St, Lucia",3.53,2.67,4.0,1.5,5.0,2.0,1.0,1.0,1.0,7.5,7.0,1.0,2.0,2.5,2.0,1.5,1.0,4.4,5.0,4.0,5.0,6.0,2.0,5.58,7.5,6.5,6.5,6.5,6.0,4.5,5.5,4.0,5.0,5.0,6.0,4.0,0
Americas,South America,Colombia,7.75,7.3,8.0,7.5,8.0,7.0,7.0,9.0,5.0,9.5,7.0,6.0,7.0,8.0,7.5,4.5,8.5,8.2,9.5,9.5,7.5,7.5,7.0,5.63,6.0,5.5,9.0,6.5,5.5,5.0,4.5,6.0,5.0,3.5,4.5,6.5,2
Africa,Southern Africa,South Africa,7.18,6.87,4.5,5.0,8.0,5.0,8.0,8.0,7.5,7.0,5.0,8.5,7.0,7.5,7.0,7.0,8.0,7.5,7.5,8.0,8.0,7.5,6.5,5.63,5.5,5.5,6.0,7.0,6.0,4.5,6.0,5.5,6.0,4.0,4.5,7.0,2
Americas,Caribbean & Central,Costa Rica,5.53,5.37,5.0,6.0,5.0,5.0,6.0,7.0,1.0,7.5,4.5,3.5,7.0,5.5,5.5,6.0,6.0,5.7,7.0,6.0,2.5,7.0,6.0,5.63,7.0,6.5,6.5,6.5,6.0,5.0,5.0,4.0,4.5,5.0,5.0,6.5,1
Europe,Southern Europe,Monaco,2.58,1.67,2.0,1.0,1.5,1.0,1.0,1.5,2.0,2.0,2.5,2.0,3.0,2.5,1.0,1.0,1.0,3.5,1.0,3.0,3.5,5.5,4.5,5.63,3.5,4.5,5.5,6.5,8.0,7.0,6.0,5.5,4.0,8.0,5.0,4.0,0
Asia,Eastern Asia,China,6.37,6.53,7.0,6.5,3.0,8.5,9.0,5.0,6.5,3.5,4.5,8.0,8.5,7.5,9.5,6.0,5.0,6.2,6.5,7.5,7.0,3.0,7.0,5.67,6.0,4.0,6.0,7.5,5.0,6.0,7.5,6.5,7.5,4.0,6.0,2.0,2
Asia,Central Asia and the Caucasus,Armenia,2.82,2.93,3.0,1.5,2.0,3.5,4.0,2.5,4.5,1.5,3.5,4.0,2.5,3.0,3.5,3.5,1.5,2.7,2.5,3.0,3.0,3.0,2.0,5.71,7.0,6.0,7.0,6.5,4.5,6.5,3.0,6.0,6.0,5.0,4.5,6.5,0
Africa,West Africa,Nigeria,7.28,7.37,7.5,6.0,8.5,6.0,7.0,8.0,6.0,7.0,8.0,8.5,8.0,7.0,8.0,7.0,8.0,7.2,5.5,8.5,7.5,7.5,7.0,5.79,5.5,5.0,7.5,7.5,5.0,5.0,5.0,5.0,6.5,5.0,5.5,7.0,2
Africa,West Africa,Senegal,5.52,5.53,5.5,5.0,5.0,7.5,7.0,4.5,3.0,7.0,7.0,3.0,5.0,5.5,7.5,6.0,4.5,5.5,3.0,6.0,5.0,6.5,7.0,5.79,5.5,5.0,7.0,6.5,5.0,6.0,7.0,5.0,5.5,5.0,5.0,7.0,1
Oceania,Micronesia,Marshall Islands,2.52,2.73,5.0,2.0,2.0,1.0,7.5,1.0,1.5,2.0,2.5,2.5,3.0,3.5,3.0,3.5,1.0,2.3,1.0,2.5,3.0,3.0,2.0,5.79,7.0,6.5,6.0,6.5,7.0,5.5,6.0,4.5,6.5,3.5,4.0,6.5,0
Oceania,Polynesia,Samoa,2.43,2.97,3.5,2.0,3.0,1.5,3.0,2.0,1.0,3.5,5.5,4.0,2.5,3.5,4.5,4.0,1.0,1.9,1.0,2.5,2.5,2.5,1.0,5.83,4.5,5.5,6.0,6.5,6.0,6.5,7.5,5.5,3.0,5.5,6.5,7.0,0
Europe,Central & Eastern Europe,Poland,4.48,4.97,5.5,6.0,4.5,2.5,5.0,5.5,4.0,5.0,5.5,7.0,5.5,6.0,4.5,5.5,2.5,4.0,2.0,6.0,4.5,3.5,4.0,5.88,5.5,4.0,7.5,7.0,5.0,6.5,7.5,6.5,6.5,5.0,5.5,4.0,1
Oceania,Micronesia,Micronesia (Federated States of),3.0,3.0,5.0,3.0,1.5,1.5,7.0,1.0,1.0,3.5,4.0,3.5,2.0,2.5,4.0,4.0,1.5,3.0,1.0,4.5,2.5,5.5,1.5,5.88,7.0,4.0,7.0,6.0,6.5,6.5,6.0,5.0,4.5,5.5,5.5,7.0,0
Asia,South-Eastern Asia,Malaysia,6.23,6.67,7.5,7.5,5.5,6.5,8.0,5.5,7.0,4.0,5.0,7.5,8.0,8.0,7.5,7.0,5.5,5.8,4.5,5.5,6.0,7.0,6.0,5.92,4.5,5.5,7.0,7.5,5.5,5.5,5.5,6.0,7.0,6.0,6.5,4.5,2
Europe,Central & Eastern Europe,Croatia,5.15,4.9,5.0,6.5,4.5,4.5,3.5,4.5,5.0,6.5,6.0,5.5,4.5,5.5,4.0,4.0,4.0,5.4,4.0,6.5,6.0,5.0,5.5,5.92,5.5,6.0,7.0,7.0,5.5,6.0,6.5,6.5,5.0,6.0,5.5,4.5,1
Americas,South America,Argentina,5.0,4.5,5.0,3.5,3.5,2.0,4.0,2.5,2.0,7.0,7.5,3.0,5.5,3.5,7.0,6.5,5.0,5.5,5.0,6.0,6.0,5.5,5.0,5.96,6.5,4.5,6.0,6.0,5.5,5.5,6.0,7.0,6.0,6.0,5.0,7.5,1
Europe,Central & Eastern Europe,Romania,4.58,5.27,6.0,5.5,5.0,6.0,4.5,4.0,5.5,5.5,5.0,5.0,6.0,6.0,5.0,6.0,4.0,3.9,3.0,5.5,3.5,4.0,3.5,6.0,6.0,6.5,7.0,6.0,6.5,6.0,6.5,5.0,5.5,6.0,6.0,5.0,1
Europe,Central & Eastern Europe,Slovenia,4.37,4.03,4.0,5.5,4.0,3.0,3.0,2.5,4.0,5.5,5.0,5.0,5.0,6.0,3.0,2.0,3.0,4.7,3.0,5.0,6.5,5.0,4.0,6.04,6.0,5.0,7.0,7.0,6.0,6.0,7.5,5.0,5.0,6.0,6.0,6.0,1
Asia,Western Asia,Israel,4.85,5.0,6.0,2.5,6.5,1.5,2.0,5.5,3.0,5.5,6.5,5.5,9.0,6.5,5.0,5.0,5.0,4.7,5.5,4.0,5.0,4.0,5.0,6.08,6.0,5.0,6.5,6.5,5.0,6.5,3.5,7.0,7.5,6.5,6.5,6.5,1
Oceania,Polynesia,Tuvalu,1.62,1.93,1.5,1.0,1.0,1.0,5.0,1.0,1.0,1.5,2.5,1.5,1.5,2.5,4.0,3.0,1.0,1.3,1.0,1.0,1.5,1.5,1.5,6.08,5.5,6.0,5.0,6.5,8.0,7.0,6.5,6.5,6.0,4.5,4.5,7.0,0
Americas,Caribbean & Central,Barbados,3.07,2.43,4.0,2.0,5.0,1.0,1.5,2.0,1.0,6.0,5.0,1.0,1.5,2.0,1.5,1.0,2.0,3.7,5.0,4.5,4.0,2.5,2.5,6.13,6.0,7.5,7.5,7.0,5.0,7.0,6.5,5.0,4.5,5.5,6.0,6.0,0
Americas,South America,Chile,5.18,5.07,6.0,5.0,6.5,4.5,5.0,3.0,2.0,7.5,7.0,5.5,5.0,4.0,6.5,4.0,4.5,5.3,4.0,6.0,5.5,6.0,5.0,6.17,7.0,7.0,8.0,6.0,5.5,4.5,4.0,6.5,6.0,6.0,6.5,7.0,1
Europe,Central & Eastern Europe,Czech Republic,4.68,4.87,5.5,5.5,5.0,3.0,5.5,3.5,4.5,5.0,6.0,6.5,5.5,6.0,4.0,4.0,3.5,4.5,3.5,4.5,5.0,4.5,5.0,6.42,6.5,6.5,7.0,7.0,6.5,7.0,7.0,6.5,6.0,5.0,6.0,6.0,1
Europe,Southern Europe,Italy,6.22,5.73,7.0,7.5,6.0,3.0,3.5,5.5,5.0,8.0,5.5,5.0,6.0,7.0,5.5,4.0,7.5,6.7,9.0,3.5,6.5,7.5,7.0,6.46,6.5,5.0,9.0,8.0,5.5,7.5,6.0,6.0,5.0,5.5,6.0,7.5,2
Europe,Southern Europe,Portugal,4.88,4.67,5.5,5.0,4.0,4.0,4.0,3.5,5.0,6.0,5.5,5.0,5.5,5.0,4.5,4.0,3.5,5.1,5.0,6.0,4.5,5.5,4.5,6.5,7.0,5.0,7.5,7.0,6.0,7.0,6.0,6.5,5.5,7.0,6.0,7.5,1
